Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6519","Animal waste","2013","2013","TJ","68","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6519","Animal waste","2014","2014","TJ","82","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6519","Animal waste","2015","2015","TJ","1307","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6519","Animal waste","2016","2016","TJ","2195","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6519","Animal waste","2017","2017","TJ","2556","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6519","Animal waste","2018","2018","TJ","2827","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6519","Animal waste","2019","2019","TJ","2762","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6519","Animal waste","2020","2020","TJ","2863","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6519","Animal waste","2021","2021","TJ","2770","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6519","Animal waste","2022","2022","TJ","2831","E","Estimated value"
"BE","Bioenergy","051","Armenia","5852","Energy production","6519","Animal waste","2012","2012","TJ","55","E","Estimated value"
"BE","Bioenergy","051","Armenia","5852","Energy production","6519","Animal waste","2013","2013","TJ","68","E","Estimated value"
"BE","Bioenergy","051","Armenia","5852","Energy production","6519","Animal waste","2014","2014","TJ","82","E","Estimated value"
"BE","Bioenergy","051","Armenia","5852","Energy production","6519","Animal waste","2015","2015","TJ","1307","E","Estimated value"
"BE","Bioenergy","051","Armenia","5852","Energy production","6519","Animal waste","2016","2016","TJ","2195","E","Estimated value"
"BE","Bioenergy","051","Armenia","5852","Energy production","6519","Animal waste","2017","2017","TJ","2556","E","Estimated value"
"BE","Bioenergy","051","Armenia","5852","Energy production","6519","Animal waste","2018","2018","TJ","2827","E","Estimated value"
"BE","Bioenergy","051","Armenia","5852","Energy production","6519","Animal waste","2019","2019","TJ","2762","E","Estimated value"
"BE","Bioenergy","051","Armenia","5852","Energy production","6519","Animal waste","2020","2020","TJ","2863","E","Estimated value"
"BE","Bioenergy","051","Armenia","5852","Energy production","6519","Animal waste","2021","2021","TJ","2770","E","Estimated value"
"BE","Bioenergy","051","Armenia","5852","Energy production","6519","Animal waste","2022","2022","TJ","2831","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6524","Charcoal","2012","2012","TJ","1","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6524","Charcoal","2013","2013","TJ","1","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6524","Charcoal","2014","2014","TJ","1","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6524","Charcoal","2015","2015","TJ","1","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6524","Charcoal","2016","2016","TJ","1","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6524","Charcoal","2017","2017","TJ","2","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6524","Charcoal","2018","2018","TJ","8","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6524","Charcoal","2019","2019","TJ","46","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6524","Charcoal","2020","2020","TJ","42","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6524","Charcoal","2021","2021","TJ","23","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6524","Charcoal","2022","2022","TJ","60","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6525","Fuelwood","2012","2012","TJ","3531","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6525","Fuelwood","2013","2013","TJ","3989","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6525","Fuelwood","2014","2014","TJ","4505","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6525","Fuelwood","2015","2015","TJ","5089","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6525","Fuelwood","2016","2016","TJ","6197","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6525","Fuelwood","2017","2017","TJ","6714","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6525","Fuelwood","2018","2018","TJ","4801","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6525","Fuelwood","2019","2019","TJ","4984","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6525","Fuelwood","2020","2020","TJ","5411","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6525","Fuelwood","2021","2021","TJ","4634","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6525","Fuelwood","2022","2022","TJ","4281","E","Estimated value"
"BE","Bioenergy","051","Armenia","5852","Energy production","6525","Fuelwood","2012","2012","TJ","3531","E","Estimated value"
"BE","Bioenergy","051","Armenia","5852","Energy production","6525","Fuelwood","2013","2013","TJ","3988","E","Estimated value"
"BE","Bioenergy","051","Armenia","5852","Energy production","6525","Fuelwood","2014","2014","TJ","4504","E","Estimated value"
"BE","Bioenergy","051","Armenia","5852","Energy production","6525","Fuelwood","2015","2015","TJ","5088","E","Estimated value"
"BE","Bioenergy","051","Armenia","5852","Energy production","6525","Fuelwood","2016","2016","TJ","6194","E","Estimated value"
"BE","Bioenergy","051","Armenia","5852","Energy production","6525","Fuelwood","2017","2017","TJ","6710","E","Estimated value"
"BE","Bioenergy","051","Armenia","5852","Energy production","6525","Fuelwood","2018","2018","TJ","4797","E","Estimated value"
"BE","Bioenergy","051","Armenia","5852","Energy production","6525","Fuelwood","2019","2019","TJ","4976","E","Estimated value"
"BE","Bioenergy","051","Armenia","5852","Energy production","6525","Fuelwood","2020","2020","TJ","5339","E","Estimated value"
"BE","Bioenergy","051","Armenia","5852","Energy production","6525","Fuelwood","2021","2021","TJ","4581","E","Estimated value"
"BE","Bioenergy","051","Armenia","5852","Energy production","6525","Fuelwood","2022","2022","TJ","4219","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6532","Other vegetal material and residues","2012","2012","TJ","316","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6532","Other vegetal material and residues","2013","2013","TJ","296","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6532","Other vegetal material and residues","2014","2014","TJ","295","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6532","Other vegetal material and residues","2015","2015","TJ","297","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6532","Other vegetal material and residues","2016","2016","TJ","252","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6532","Other vegetal material and residues","2017","2017","TJ","341","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6532","Other vegetal material and residues","2018","2018","TJ","439","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6532","Other vegetal material and residues","2019","2019","TJ","436","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6532","Other vegetal material and residues","2020","2020","TJ","532","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6532","Other vegetal material and residues","2021","2021","TJ","474","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6532","Other vegetal material and residues","2022","2022","TJ","521","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6524","Charcoal","2012","2012","TJ","123","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6524","Charcoal","2013","2013","TJ","148","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6524","Charcoal","2014","2014","TJ","177","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6524","Charcoal","2015","2015","TJ","177","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6524","Charcoal","2016","2016","TJ","6","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6524","Charcoal","2017","2017","TJ","6","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6524","Charcoal","2018","2018","TJ","3","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6524","Charcoal","2019","2019","TJ","3","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6524","Charcoal","2020","2020","TJ","2","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6524","Charcoal","2021","2021","TJ","3","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6524","Charcoal","2022","2022","TJ","3","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6524","Charcoal","2012","2012","TJ","123","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6524","Charcoal","2013","2013","TJ","148","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6524","Charcoal","2014","2014","TJ","177","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6524","Charcoal","2015","2015","TJ","177","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6524","Charcoal","2016","2016","TJ","6","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6524","Charcoal","2017","2017","TJ","6","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6524","Charcoal","2018","2018","TJ","3","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6524","Charcoal","2019","2019","TJ","3","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6524","Charcoal","2020","2020","TJ","2","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6524","Charcoal","2021","2021","TJ","3","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6524","Charcoal","2022","2022","TJ","3","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6525","Fuelwood","2012","2012","TJ","4117","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6525","Fuelwood","2013","2013","TJ","3885","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6525","Fuelwood","2014","2014","TJ","3241","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6525","Fuelwood","2015","2015","TJ","3031","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6525","Fuelwood","2016","2016","TJ","1284","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6525","Fuelwood","2017","2017","TJ","1496","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6525","Fuelwood","2018","2018","TJ","1480","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6525","Fuelwood","2019","2019","TJ","1373","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6525","Fuelwood","2020","2020","TJ","980","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6525","Fuelwood","2021","2021","TJ","908","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6525","Fuelwood","2022","2022","TJ","808","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6525","Fuelwood","2012","2012","TJ","4086","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6525","Fuelwood","2013","2013","TJ","4258","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6525","Fuelwood","2014","2014","TJ","3632","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6525","Fuelwood","2015","2015","TJ","3407","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6525","Fuelwood","2016","2016","TJ","1400","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6525","Fuelwood","2017","2017","TJ","1524","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6525","Fuelwood","2018","2018","TJ","1488","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6525","Fuelwood","2019","2019","TJ","1413","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6525","Fuelwood","2020","2020","TJ","974","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6525","Fuelwood","2021","2021","TJ","838","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6525","Fuelwood","2022","2022","TJ","729","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6532","Other vegetal material and residues","2013","2013","TJ","31","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6532","Other vegetal material and residues","2014","2014","TJ","62","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6532","Other vegetal material and residues","2015","2015","TJ","94","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6532","Other vegetal material and residues","2016","2016","TJ","125","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6532","Other vegetal material and residues","2017","2017","TJ","156","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6532","Other vegetal material and residues","2018","2018","TJ","187","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6532","Other vegetal material and residues","2019","2019","TJ","408","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6532","Other vegetal material and residues","2020","2020","TJ","397","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6532","Other vegetal material and residues","2021","2021","TJ","372","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5851","Energy consumption","6532","Other vegetal material and residues","2022","2022","TJ","507","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6532","Other vegetal material and residues","2013","2013","TJ","31","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6532","Other vegetal material and residues","2014","2014","TJ","62","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6532","Other vegetal material and residues","2015","2015","TJ","94","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6532","Other vegetal material and residues","2016","2016","TJ","125","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6532","Other vegetal material and residues","2017","2017","TJ","156","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6532","Other vegetal material and residues","2018","2018","TJ","187","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6532","Other vegetal material and residues","2019","2019","TJ","408","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6532","Other vegetal material and residues","2020","2020","TJ","397","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6532","Other vegetal material and residues","2021","2021","TJ","372","E","Estimated value"
"BE","Bioenergy","031","Azerbaijan","5852","Energy production","6532","Other vegetal material and residues","2022","2022","TJ","507","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5851","Energy consumption","6524","Charcoal","2012","2012","TJ","137","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5851","Energy consumption","6524","Charcoal","2013","2013","TJ","202","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5851","Energy consumption","6524","Charcoal","2014","2014","TJ","251","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5851","Energy consumption","6524","Charcoal","2015","2015","TJ","377","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5851","Energy consumption","6524","Charcoal","2016","2016","TJ","253","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5851","Energy consumption","6524","Charcoal","2017","2017","TJ","86","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5851","Energy consumption","6524","Charcoal","2018","2018","TJ","86","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5851","Energy consumption","6524","Charcoal","2019","2019","TJ","164","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5851","Energy consumption","6524","Charcoal","2020","2020","TJ","209","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5851","Energy consumption","6524","Charcoal","2021","2021","TJ","209","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5851","Energy consumption","6524","Charcoal","2022","2022","TJ","270","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5852","Energy production","6524","Charcoal","2012","2012","TJ","32","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5852","Energy production","6524","Charcoal","2013","2013","TJ","33","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5852","Energy production","6524","Charcoal","2014","2014","TJ","33","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5852","Energy production","6524","Charcoal","2015","2015","TJ","33","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5852","Energy production","6524","Charcoal","2016","2016","TJ","34","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5852","Energy production","6524","Charcoal","2017","2017","TJ","34","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5852","Energy production","6524","Charcoal","2018","2018","TJ","34","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5852","Energy production","6524","Charcoal","2019","2019","TJ","35","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5852","Energy production","6524","Charcoal","2020","2020","TJ","35","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5852","Energy production","6524","Charcoal","2021","2021","TJ","36","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5852","Energy production","6524","Charcoal","2022","2022","TJ","36","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5851","Energy consumption","6525","Fuelwood","2012","2012","TJ","27","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5851","Energy consumption","6525","Fuelwood","2013","2013","TJ","32","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5851","Energy consumption","6525","Fuelwood","2014","2014","TJ","37","E","Estimated value"
"BE","Bioenergy","048","Bahrain","5851","Energy consumption","6525","Fuelwood","2015","2015","TJ","31","E","Estimated value"
